Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,sampleNum
I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5,125
I,0.46,0.365,0.115,0.511,0.2365,0.118,0.123,7,2824
I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12,234
M,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14,670
M,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10,1208
M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9,1150
M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10,632
I,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6,4155
F,0.61,0.49,0.17,1.137,0.4605,0.2825,0.344,12,3812
F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9,2830
M,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11,1205
I,0.42,0.315,0.115,0.355,0.1895,0.065,0.087,6,2047
M,0.64,0.51,0.19,1.613,0.6215,0.361,0.47,14,763
I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7,209
M,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11,1040
F,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,16,687
M,0.655,0.54,0.165,1.403,0.6955,0.2385,0.42,11,3069
I,0.535,0.45,0.17,0.781,0.3055,0.1555,0.295,11,661
I,0.215,0.15,0.055,0.041,0.015,0.009,0.0125,3,3521
F,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7,1766
M,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10,1393
M,0.705,0.555,0.215,2.141,1.0465,0.383,0.528,11,1418
M,0.67,0.51,0.175,1.5265,0.651,0.4475,0.345,10,1519
I,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,5,3142
M,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5,650
M,0.6,0.45,0.16,1.142,0.539,0.225,0.307,10,2843
F,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8,679
M,0.735,0.59,0.215,1.747,0.7275,0.403,0.557,11,1758
M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,18,2203
I,0.535,0.41,0.155,0.6315,0.2745,0.1415,0.1815,12,2377
I,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7,4030
F,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11,3989
F,0.705,0.57,0.185,1.761,0.747,0.3725,0.488,10,2085
I,0.42,0.32,0.1,0.34,0.1745,0.05,0.0945,8,2510
M,0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325,8,2619
I,0.44,0.345,0.1,0.366,0.122,0.0905,0.12,13,434
M,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7,988
I,0.55,0.405,0.15,0.6755,0.3015,0.1465,0.21,10,3035
F,0.605,0.485,0.165,1.0735,0.437,0.205,0.33,14,3296
F,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,11,498
F,0.67,0.525,0.195,1.37,0.6065,0.2955,0.407,12,3741
F,0.62,0.48,0.17,1.1045,0.535,0.25,0.287,10,2845
F,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,14,3218
M,0.63,0.47,0.145,1.1005,0.52,0.26,0.276,9,1499
M,0.63,0.515,0.175,1.1955,0.492,0.247,0.37,11,3060
I,0.55,0.425,0.15,0.806,0.376,0.171,0.245,14,581
F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10,2919
I,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,8,3636
M,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,8,1922
F,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12,809
M,0.585,0.405,0.15,1.2565,0.435,0.202,0.325,15,760
I,0.51,0.395,0.155,0.5395,0.2465,0.1085,0.167,8,2650
I,0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228,8,1787
M,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9,2069
I,0.37,0.275,0.085,0.2045,0.096,0.056,0.08,6,3846
M,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10,3498
I,0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8,2485
F,0.57,0.45,0.18,0.908,0.4015,0.217,0.255,9,2662
F,0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14,2266
I,0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,6,1236
M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8,2148
I,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,7,2226
M,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15,507
I,0.5,0.375,0.12,0.529,0.2235,0.123,0.16,8,2827
F,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,10,1962
M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8,1663
F,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,10,4115
F,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,9,1480
F,0.72,0.55,0.18,1.52,0.637,0.325,0.435,10,2860
M,0.685,0.53,0.17,1.56,0.647,0.383,0.465,11,3597
M,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,9,3315
F,0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725,10,3132
F,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,16,2390
M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19,2351
I,0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6,1223
I,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7,1846
F,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,9,1303
I,0.35,0.265,0.11,0.209,0.066,0.059,0.075,9,3403
M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9,268
M,0.69,0.55,0.2,1.8465,0.732,0.472,0.57,19,2160
M,0.63,0.495,0.18,1.31,0.495,0.295,0.4695,10,3061
M,0.66,0.53,0.175,1.583,0.7395,0.3505,0.405,10,3623
M,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,8,2050
I,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8,1554
M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18,360
F,0.59,0.445,0.13,1.1325,0.3825,0.234,0.32,13,766
F,0.575,0.465,0.175,1.099,0.4735,0.202,0.35,9,1904
I,0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025,7,3973
F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8,2152
F,0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,11,3590
F,0.64,0.505,0.19,1.2765,0.4835,0.328,0.4,12,3229
F,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,14,3686
F,0.675,0.55,0.19,1.551,0.7105,0.3685,0.412,13,2701
I,0.56,0.425,0.135,0.8205,0.3715,0.185,0.236,9,1320
F,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12,2350
I,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,5,3255
M,0.6,0.48,0.09,1.05,0.457,0.2685,0.28,8,2782
M,0.495,0.375,0.115,0.6245,0.282,0.143,0.155,6,3979
M,0.64,0.49,0.155,1.1285,0.477,0.269,0.34,9,1953
F,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,8,2529
M,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8,1882
F,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12,364
M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,18,3237
F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5,514
M,0.555,0.45,0.145,0.915,0.4,0.246,0.285,11,408
M,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,17,358
I,0.415,0.315,0.105,0.33,0.1405,0.0705,0.095,6,2508
F,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16,699
M,0.505,0.4,0.135,0.723,0.377,0.149,0.178,7,2649
I,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8,1108
I,0.3,0.225,0.075,0.1345,0.057,0.028,0.044,5,3632
M,0.44,0.335,0.11,0.394,0.157,0.096,0.122,9,797
I,0.51,0.4,0.125,0.5935,0.239,0.13,0.204,8,2888
F,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,16,3320
I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5,1212
F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12,1047
M,0.64,0.485,0.15,1.098,0.5195,0.222,0.3175,10,2798
M,0.625,0.49,0.165,1.205,0.5175,0.3105,0.3465,10,2792
M,0.6,0.475,0.175,1.11,0.5105,0.256,0.285,9,2842
I,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9,3228
M,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,11,1515
F,0.43,0.35,0.09,0.397,0.1575,0.089,0.12,9,3157
F,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,12,3335
M,0.71,0.575,0.215,2.009,0.9895,0.4475,0.502,11,1749
F,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,14,1756
M,0.61,0.485,0.17,1.281,0.597,0.3035,0.33,9,2995
I,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21,628
I,0.375,0.265,0.095,0.196,0.085,0.042,0.0585,5,2819
M,0.505,0.41,0.125,0.642,0.289,0.133,0.155,9,963
M,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10,1746
M,0.59,0.47,0.15,0.9955,0.481,0.232,0.24,8,1152
M,0.44,0.325,0.08,0.413,0.144,0.1015,0.13,8,2462
F,0.62,0.5,0.175,1.146,0.477,0.23,0.39,13,3298
I,0.53,0.4,0.145,0.555,0.1935,0.1305,0.195,9,1598
I,0.44,0.33,0.11,0.38,0.197,0.079,0.09,7,3479
M,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10,1125
F,0.625,0.475,0.16,1.3335,0.605,0.2875,0.319,10,3582
I,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,8,3604
F,0.62,0.485,0.175,1.271,0.531,0.3075,0.37,11,3215
M,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348,7,2944
F,0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,9,2771
M,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10,3505
I,0.38,0.3,0.09,0.277,0.1655,0.0625,0.082,6,3969
F,0.58,0.45,0.195,0.8265,0.4035,0.173,0.225,9,1909
F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20,166
I,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17,600
M,0.615,0.45,0.15,1.198,0.707,0.2095,0.2505,7,2678
I,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,8,2889
M,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121,10,3100
M,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,11,996
F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14,2314
M,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6,1461
I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4,44
F,0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,8,2983
M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8,1447
I,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14,437
I,0.46,0.34,0.1,0.386,0.1805,0.0875,0.0965,8,3815
M,0.69,0.55,0.195,1.777,0.769,0.38,0.4305,11,3960
I,0.415,0.31,0.09,0.2815,0.1245,0.0615,0.085,6,1836
M,0.695,0.53,0.21,1.51,0.664,0.4095,0.385,10,4146
F,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19,3319
M,0.59,0.46,0.14,1.004,0.496,0.2165,0.26,9,2670
M,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,11,689
M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5,517
M,0.57,0.42,0.155,1.008,0.377,0.193,0.34,13,2477
I,0.59,0.445,0.135,0.7715,0.328,0.1745,0.23,9,1347
M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,9,2029
F,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,12,1726
M,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,7,2655
M,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,7,960
F,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12,625
F,0.545,0.4,0.14,0.778,0.368,0.215,0.18,9,2657
I,0.52,0.4,0.14,0.622,0.278,0.1455,0.169,8,4074
M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8,302
M,0.51,0.395,0.145,0.6185,0.216,0.1385,0.24,12,2255
M,0.585,0.45,0.15,1.047,0.4315,0.276,0.315,14,3146
M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,27
I,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,8,4158
F,0.715,0.565,0.18,1.79,0.844,0.3535,0.5385,9,4105
F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13,156
M,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,9,3064
I,0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035,9,2019
I,0.53,0.42,0.14,0.6765,0.256,0.1855,0.208,9,3654
M,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14,340
F,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,12,3148
I,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,9,1106
M,0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545,11,4056
F,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415,16,370
F,0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,11,1411
F,0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,14,2271
I,0.55,0.435,0.125,0.741,0.348,0.1585,0.206,9,4077
M,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,10,3169
M,0.41,0.335,0.115,0.4405,0.19,0.085,0.135,8,3855
M,0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,11,862
M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12,398
F,0.56,0.46,0.18,0.97,0.342,0.196,0.355,12,3891
M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,15
I,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5,1218
M,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12,810
F,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15,3288
F,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23,501
I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7,918
F,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,10,863
F,0.655,0.515,0.2,1.494,0.7255,0.309,0.405,12,2958
F,0.66,0.53,0.17,1.431,0.622,0.309,0.398,10,3700
F,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455,10,3457
M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13,2355
I,0.55,0.42,0.115,0.668,0.2925,0.137,0.209,11,2070
M,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12,1043
F,0.525,0.43,0.165,0.717,0.289,0.1745,0.195,10,3866
F,0.61,0.475,0.16,1.1155,0.3835,0.223,0.379,10,1672
F,0.69,0.535,0.185,1.826,0.797,0.409,0.499,11,4057
M,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,18,3259
M,0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,9,3759
I,0.445,0.33,0.12,0.347,0.12,0.084,0.105,11,645
I,0.535,0.4,0.145,0.705,0.3065,0.1365,0.22,10,3764
F,0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,10,4140
M,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16,3843
M,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,6,515
I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7,1076
I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,5,320
F,0.725,0.58,0.185,1.523,0.8045,0.3595,0.4375,9,3471
F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9,3583
I,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9,3208
F,0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,16,1957
M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10,852
F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9,222
F,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8,1267
I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,3,2115
M,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,19,3865
I,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,10,4132
M,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9,634
I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5,1059
F,0.585,0.465,0.165,0.9355,0.4035,0.2275,0.259,9,3571
M,0.59,0.47,0.15,0.861,0.413,0.164,0.249,8,2669
F,0.595,0.495,0.235,1.366,0.5065,0.219,0.52,13,2212
F,0.6,0.45,0.14,0.837,0.37,0.177,0.2425,10,2031
M,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,10,1187
F,0.52,0.405,0.14,0.6915,0.276,0.137,0.215,11,2464
F,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11,1941
I,0.51,0.395,0.13,0.6025,0.281,0.143,0.162,7,1583
M,0.595,0.475,0.17,1.0965,0.419,0.229,0.35,17,2233
I,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6,827
M,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7,1884
M,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,11,765
F,0.56,0.455,0.125,0.943,0.344,0.129,0.375,21,428
F,0.58,0.5,0.165,0.925,0.37,0.185,0.3005,10,1910
M,0.465,0.36,0.11,0.4955,0.2665,0.085,0.121,7,2054
M,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9,714
F,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12,3341
I,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7,709
F,0.545,0.42,0.175,0.754,0.256,0.1775,0.275,10,3831
I,0.39,0.29,0.09,0.2625,0.117,0.054,0.077,7,2821
M,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14,84
F,0.49,0.355,0.16,0.8795,0.3485,0.215,0.2825,8,1778
I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8,244
I,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,6,2639
M,0.64,0.585,0.195,1.647,0.7225,0.331,0.471,12,2534
F,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,10,2126
I,0.485,0.375,0.14,0.521,0.2,0.123,0.17,8,771
I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8,3953
F,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10,626
M,0.62,0.48,0.165,1.0725,0.4815,0.235,0.312,9,1496
I,0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,7,1235
I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7,935
M,0.41,0.325,0.1,0.3555,0.146,0.072,0.105,9,3836
F,0.6,0.45,0.15,0.9625,0.4375,0.2225,0.2775,9,2921
F,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,12,1679
I,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,7,695
M,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,11,711
M,0.46,0.355,0.14,0.491,0.207,0.115,0.174,10,3090
I,0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05,6,3802
I,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4,718
M,0.565,0.445,0.145,0.9255,0.4345,0.212,0.2475,9,2027
M,0.585,0.455,0.14,0.97,0.462,0.185,0.295,9,2130
F,0.595,0.45,0.165,1.081,0.49,0.2525,0.279,12,3674
M,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7,1120
M,0.48,0.37,0.135,0.6315,0.3445,0.1015,0.161,7,2517
M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12,327
M,0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,8,3404
I,0.18,0.135,0.08,0.033,0.0145,0.007,0.01,5,3141
M,0.595,0.455,0.155,1.041,0.416,0.2105,0.365,14,2106
M,0.53,0.43,0.135,0.879,0.28,0.2165,0.25,10,3400
M,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12,1700
M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11,1179
F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15,2328
F,0.5,0.38,0.155,0.655,0.2405,0.143,0.205,17,671
I,0.43,0.34,0.11,0.3645,0.159,0.0855,0.105,7,2736
M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,64
F,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10,1199
M,0.52,0.41,0.115,0.77,0.263,0.157,0.26,11,3935
M,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9,845
I,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,7,1545
I,0.595,0.47,0.135,0.9365,0.434,0.184,0.287,10,3671
F,0.605,0.475,0.165,1.056,0.433,0.2195,0.357,9,1160
I,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,7,3478
I,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,4,694
F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12,186
F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19,593
I,0.385,0.285,0.09,0.248,0.0935,0.066,0.07,6,3970
F,0.65,0.59,0.22,1.662,0.77,0.378,0.435,11,1400
M,0.565,0.44,0.175,1.122,0.393,0.2,0.375,20,2471
I,0.29,0.205,0.07,0.0975,0.036,0.019,0.035,8,716
I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9,247
M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,123
F,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8,3447
I,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11,1839
I,0.425,0.34,0.1,0.371,0.15,0.0865,0.115,8,2874
F,0.345,0.255,0.1,0.197,0.071,0.051,0.06,9,2439
F,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7,953
I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5,691
M,0.49,0.39,0.135,0.592,0.242,0.096,0.1835,15,2489
M,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,8,3122
I,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8,1110
I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16,570
I,0.415,0.31,0.095,0.34,0.181,0.057,0.083,6,3999
I,0.41,0.3,0.09,0.28,0.141,0.0575,0.075,8,1555
F,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275,9,1662
M,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9,1316
F,0.58,0.425,0.15,0.844,0.3645,0.185,0.2705,9,2774
F,0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,7,3886
I,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,10,4033
M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6,646
F,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9,1382
F,0.56,0.435,0.185,1.106,0.422,0.2435,0.33,15,2236
F,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,18,429
I,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10,1860
F,0.61,0.47,0.145,1.153,0.403,0.296,0.32,14,764
M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,63
M,0.7,0.55,0.175,1.4405,0.6565,0.2985,0.375,12,1978
M,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,3,2371
F,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295,16,363
M,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16,3188
F,0.595,0.465,0.14,1.113,0.5175,0.244,0.305,12,861
I,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,8,2734
I,0.405,0.31,0.11,0.91,0.416,0.2075,0.0995,8,2728
I,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,7,3197
M,0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235,9,3047
F,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,9,2247
I,0.5,0.39,0.12,0.5955,0.2455,0.147,0.173,8,1581
F,0.475,0.38,0.145,0.57,0.167,0.118,0.187,11,2492
I,0.435,0.325,0.12,0.346,0.159,0.084,0.095,7,2010
M,0.685,0.55,0.2,1.7725,0.813,0.387,0.49,11,2083
M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7,643
I,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8,3539
I,0.53,0.395,0.125,0.6235,0.2975,0.108,0.195,11,3656
I,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,9,3908
I,0.485,0.385,0.13,0.568,0.2505,0.178,0.154,7,1849
I,0.435,0.335,0.105,0.3535,0.156,0.05,0.1135,7,3016
F,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,14,3861
M,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10,3091
F,0.65,0.5,0.185,1.4415,0.741,0.2955,0.341,9,2616
I,0.445,0.33,0.1,0.437,0.163,0.0755,0.17,13,2400
M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8,4059
F,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11,677
M,0.505,0.395,0.125,0.635,0.29,0.1555,0.175,9,3155
F,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22,16,3304
F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20,72
F,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,11,1424
I,0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035,6,3965
M,0.67,0.54,0.175,1.482,0.739,0.2925,0.365,10,2966
I,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,9,4082
F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10,77
I,0.545,0.4,0.13,0.686,0.3285,0.1455,0.18,9,1608
I,0.26,0.2,0.07,0.092,0.037,0.02,0.03,6,424
F,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,11,770
F,0.52,0.41,0.16,0.712,0.2845,0.153,0.225,10,3916
I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8,2299
I,0.605,0.48,0.155,0.9995,0.425,0.1985,0.3,10,2925
I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7,1252
M,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,10,3390
F,0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461,11,3516
F,0.65,0.505,0.165,1.16,0.4785,0.274,0.349,11,1399
I,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4,900
I,0.39,0.31,0.085,0.344,0.181,0.0695,0.079,7,4163
I,0.39,0.3,0.09,0.252,0.1065,0.053,0.08,7,1551
M,0.615,0.475,0.15,1.0375,0.476,0.2325,0.283,9,3735
M,0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8,2905
M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14,192
M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10,2243
I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5,1245
F,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17,745
M,0.56,0.44,0.13,0.8255,0.2425,0.202,0.285,10,3851
